2019-06-13 17:05:19 EXEC SPC_COM_MENU '1';
2019-06-13 17:05:28 EXEC SPC_COM_MENU '1';
2019-06-13 17:06:58 EXEC SPC_COM_MENU '1';
2019-06-13 17:12:39 EXEC SPC_COM_MENU '1';
2019-06-13 17:12:49 EXEC SPC_COM_MENU '1';
2019-06-13 17:13:40 EXEC SPC_COM_MENU '1';
2019-06-13 17:13:54 EXEC SPC_COM_MENU '1';
2019-06-13 17:17:30 EXEC SPC_COM_MENU '1';
2019-06-13 17:25:50 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 17:25:50 EXEC SPC_COM_MENU '1';
2019-06-13 17:25:51 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 17:25:51 EXEC SPC_COM_MENU '1';
2019-06-13 17:26:00 EXEC SPC_COM_MENU '1';
2019-06-13 17:26:03 EXEC SPC_COM_MENU '1';
