2018-08-21 08:32:59 EXEC SPC_COM_MENU '1';
2018-08-21 08:33:01 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:33:01 EXEC SPC_COM_MENU '1';
2018-08-21 09:02:08 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:02:08 EXEC SPC_COM_MENU '1';
2018-08-21 09:02:08 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 09:02:09 EXEC SPC_COM_MENU '1';
2018-08-21 09:02:09 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 09:02:09 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:02:09 EXEC SPC_COM_MENU '1';
2018-08-21 09:02:09 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 09:03:10 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:03:10 EXEC SPC_COM_MENU '1';
2018-08-21 09:03:10 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 09:03:11 EXEC SPC_COM_MENU '1';
2018-08-21 09:03:11 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 09:03:11 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:03:11 EXEC SPC_COM_MENU '1';
2018-08-21 09:03:11 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 09:03:13 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:03:13 EXEC SPC_COM_MENU '1';
2018-08-21 09:03:13 EXEC SPC_COM_ADD_EFFECT '1','5','1','1','1','ndq809','127.0.0.1';
2018-08-21 09:03:19 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:03:19 EXEC SPC_COM_MENU '1';
2018-08-21 09:03:19 EXEC SPC_COM_ADD_EFFECT '1','5','1','1','1','ndq809','127.0.0.1';
2018-08-21 09:03:39 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:03:39 EXEC SPC_COM_MENU '1';
2018-08-21 09:03:39 EXEC SPC_COM_ADD_EFFECT '1','5','1','1','1','ndq809','127.0.0.1';
2018-08-21 09:07:17 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:07:17 EXEC SPC_COM_MENU '1';
2018-08-21 09:07:17 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 09:07:18 EXEC SPC_COM_MENU '1';
2018-08-21 09:07:18 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 09:07:18 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:07:18 EXEC SPC_COM_MENU '1';
2018-08-21 09:07:18 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 09:07:50 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:07:50 EXEC SPC_COM_MENU '1';
2018-08-21 09:07:50 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 09:07:51 EXEC SPC_COM_MENU '1';
2018-08-21 09:07:51 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 09:07:51 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:07:51 EXEC SPC_COM_MENU '1';
2018-08-21 09:07:51 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 09:07:54 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:07:54 EXEC SPC_COM_MENU '1';
2018-08-21 09:07:54 EXEC SPC_COM_ADD_EFFECT '1','1022','','1','1','ndq809','127.0.0.1';
2018-08-21 09:08:19 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:08:19 EXEC SPC_COM_MENU '1';
2018-08-21 09:08:19 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 09:08:20 EXEC SPC_COM_MENU '1';
2018-08-21 09:08:20 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 09:08:20 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:08:20 EXEC SPC_COM_MENU '1';
2018-08-21 09:08:20 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 09:08:26 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:08:26 EXEC SPC_COM_MENU '1';
2018-08-21 09:08:26 EXEC SPC_COM_ADD_EFFECT '4','1039','','1','1','ndq809','127.0.0.1';
2018-08-21 09:08:46 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:08:46 EXEC SPC_COM_MENU '1';
2018-08-21 09:08:46 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 09:08:46 EXEC SPC_COM_MENU '1';
2018-08-21 09:08:46 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 09:08:46 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:08:46 EXEC SPC_COM_MENU '1';
2018-08-21 09:08:46 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 09:08:52 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:08:52 EXEC SPC_COM_MENU '1';
2018-08-21 09:08:52 EXEC SPC_COM_ADD_EFFECT '4','1031','','1','1','ndq809','127.0.0.1';
2018-08-21 09:09:05 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:09:05 EXEC SPC_COM_MENU '1';
2018-08-21 09:09:05 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 09:09:05 EXEC SPC_COM_MENU '1';
2018-08-21 09:09:05 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 09:09:05 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:09:05 EXEC SPC_COM_MENU '1';
2018-08-21 09:09:05 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 09:09:13 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:09:13 EXEC SPC_COM_MENU '1';
2018-08-21 09:09:13 EXEC SPC_COM_ADD_EFFECT '1','1022','','1','1','ndq809','127.0.0.1';
2018-08-21 09:09:30 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:09:30 EXEC SPC_COM_MENU '1';
2018-08-21 09:09:30 EXEC SPC_COM_ADD_EFFECT '4','1039','','1','1','ndq809','127.0.0.1';
2018-08-21 09:09:35 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:09:35 EXEC SPC_COM_MENU '1';
2018-08-21 09:09:35 EXEC SPC_COM_ADD_EFFECT '5','1024','','1','1','ndq809','127.0.0.1';
2018-08-21 09:09:42 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:09:42 EXEC SPC_COM_MENU '1';
2018-08-21 09:09:42 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 09:09:43 EXEC SPC_COM_MENU '1';
2018-08-21 09:09:43 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 09:09:43 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:09:43 EXEC SPC_COM_MENU '1';
2018-08-21 09:09:43 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 09:10:36 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:10:36 EXEC SPC_COM_MENU '1';
2018-08-21 09:10:36 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 09:10:36 EXEC SPC_COM_MENU '1';
2018-08-21 09:10:36 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 09:10:36 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:10:36 EXEC SPC_COM_MENU '1';
2018-08-21 09:10:36 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 09:10:40 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:10:40 EXEC SPC_COM_MENU '1';
2018-08-21 09:10:40 EXEC SPC_COM_ADD_EFFECT '2','1018','','1','1','ndq809','127.0.0.1';
2018-08-21 09:10:43 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:10:43 EXEC SPC_COM_MENU '1';
2018-08-21 09:10:43 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 09:10:43 EXEC SPC_COM_MENU '1';
2018-08-21 09:10:44 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 09:10:44 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:10:44 EXEC SPC_COM_MENU '1';
2018-08-21 09:10:44 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 09:10:55 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:10:55 EXEC SPC_COM_MENU '1';
2018-08-21 09:10:55 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 09:10:55 EXEC SPC_COM_MENU '1';
